id ;código;nombre;categoría;subcategoría;variante;origen;trazabilidad;formato;peso_aprox;descripción;imagen;destacado
;21193552;PALETA CERDO C/H C/P VACIO K;;;3,12 €;9%;06/08/2026;12/08/2026;Excel;;;
;21193636;MAZA PALETA S/H C/P VACIO K;;;;;;;;;;
;21193701;CODILLO CERDO ABIERTO VACIO K;;;;;;;;;;
;12297057;FILETES DE PANCETA SIN HUESO;;;;;;;;;;
;15116957;PANCETA;;;;;;;;;;
;20317616;SECRETO CERDO VACIO GRASO;;;;;;;;;;
;20329470;SECRETO EXTRATIERNO VACIO C/4;;;;;;;;;;
;25020629;SECRETO CERD.VAC.DUROC COREN C/3;;;;;;;;;;
;25263575;PRESA DE CERDO DUROC COREN 1K;;;;;;;;;;
;00100222;RIÑONES                 (KGR);;;;;;;;;;
;12297206;CARRILLERA DE CERDO;;;;;;;;;;
;23399447;(V) CERDO HUESOS JAMON SERRANO C;;;;;;;;;;
;24943805;CARRILLERAS S/HUESO MIXTAS C/6;;;;;;;;;;
;08479180;LOMO ADOBADO TROZO C/6;;;;;;;;;;
;10866416;LOMO ADOBADO EXTRA 500GR ( 12 filetes por bandeja);;;;;;;;;;
;14085807;LOMO ADOBADO EXTRAFINO 300 GR(10 Filetes de 30 gramos por bandeja);;;;;;;;;;
;14857064;LOMO EXTRA AJILLO FILETEADO;;;;;;;;;;
;19219849;ESCALOPIN LOMO ADOB.EXTRAT ELPOZ;;;;;;;;;;
;10903326;FILETE DE LOMO IBERICO SELEQTIA;;;;;;;;;;
;03317385;SECRETO DE CERDO IBERICO;;;;;;;;;;
;03317401;TIRA COSTILLA CERDO IBERICO SELE;;;;;;;;;;
;03682465;PRESA LOMO FILETEADA IBERICA SEL;;;;;;;;;;
;25412776;SECRETO IBERICO EXTRA C/4;;;;;;;;;;
;25948274;CHULETAS CORDERO CONGEL. 5/600GR;;;;;;;;;;
;90095006;(V) CORD NACIONAL PIERNA ENTERA;;;;;;;;;;
;90007206;FALDA CORDERO CONGELADA BOLSA 4U;;;;;;;;;;
;90008304;CALDERETA CORDERO CONGELADO;;;;;;;;;;
;17552415;MEDIO CORDERO LECHAL VACIO;;;;;;;;;;
;21342522;PIERNA LECHAL COLEAR;;;;;;;;;;
